"id","sub_category_name","primary_category_id"
19945,"Pantry Staples",19944
20488,"Beverages",19944
20564,"Snack Foods",19944
20642,"Candy & Chocolate",19944
20680,"Breads & Bakery",19944
20761,"Breakfast Foods",19944
20777,"Food & Beverage Gifts",19944
20792,"Snacks & Sweets",19944
20806,"Fresh Produce",19944
20939,"Dairy, Cheese & Eggs",19944
21018,"Meat & Seafood",19944
21112,"Frozen Foods",19944
21174,"Fresh Flowers & Live Indoor Plants",19944
21192,"Dried Beans, Grains & Rice",19944
21205,"Home Brewing & Winemaking",19944
21215,"Deli & Prepared Foods",19944
21233,"Meat Substitutes",19944
21244,"Alcoholic Beverages",19944
21267,"Fresh Meal Ingredient Kits",19944
21268,"Deli Foods",19944
19946,"Cooking & Baking Grocery Supplies",19944
20130,"Herbs, Spices & Seasonings",19944
20212,"Canned, Jarred & Packaged Foods",19944
20318,"Sauces, Gravies & Marinades",19944
20358,"Soups, Stocks & Broths",19944
20384,"Condiments & Salad Dressings",19944
20418,"Dried Grains & Rice",19944
20432,"Pasta & Noodles",19944
20456,"Olives, Pickles & Relishes",19944
20474,"Nut & Seed Butters",19944
20479,"Jams, Jellies & Sweet Spreads",19944
20487,"Dried Beans, Lentils & Peas",19944
20489,"Coffee, Tea & Cocoa",19944
20522,"Bottled Beverages, Water & Drink Mixes",19944
20553,"Syrups & Concentrates",19944
20557,"Powdered Drink Mixes",19944
20561,"Bubble Tea Products",19944
20562,"Hot Chocolate & Malted Drinks",19944
20565,"Granola & Nutrition Bars",19944
20572,"Chips & Crisps",19944
20579,"Meat Snacks",19944
20584,"Snack Crackers",19944
20598,"Popcorn",19944
20602,"Fruit Snacks",19944
20603,"Puffed Snacks",19944
20604,"Rice Cakes, Chips & Crackers",19944
20608,"Snack Pretzels",19944
20609,"Snack & Trail Mixes",19944
20610,"Snack Food Salsas, Dips & Spreads",19944
20620,"Snack Cakes & Pastries",19944
20628,"Party Mix",19944
20629,"Applesauce & Fruit Cups",19944
20632,"Seaweed Snacks",19944
20633,"Snack Nuts & Seeds",19944
20634,"Breadsticks",19944
20635,"Fruit Leathers",19944
20636,"Ice Cream Cones & Toppings",19944
20637,"Wasabi Peas",19944
20638,"Dried Fruits & Raisins",19944
20639,"Snack Puddings & Gelatins",19944
20643,"Jelly Beans, Chewy & Gummy Candy",19944
20648,"Hard Candy, Suckers & Lollipops",19944
20652,"Chewing Gum",19944
20653,"Candy & Chocolate Bars",19944
20657,"Candy Mints",19944
20658,"Candy & Chocolate Coated Fruits, Nuts & Snacks",19944
20665,"Sour Flavored Candies",19944
20666,"Brittle, Caramel & Toffee Candy",19944
20671,"Ginger Candy",19944
20672,"Candy & Chocolate Assortments & Samplers",19944
20673,"Chocolate & Fudge Candy",19944
20676,"Traditional & International Sweets",19944
20681,"Grocery Cookies",19944
20703,"Breads",19944
20728,"Breakfast Bakery",19944
20738,"Cakes",19944
20746,"Bakery Desserts",19944
20754,"Pizza Crusts",19944
20755,"Fresh Bakery Breadsticks",19944
20756,"Refrigerated Doughs",19944
20759,"Pastry Shells & Crusts",19944
20760,"Fresh Bakery Breadcrumbs & Stuffing",19944
20762,"Breakfast Cereals",19944
20773,"Breakfast & Cereal Bars",19944
20775,"Toaster Pastries",19944
20776,"Breakfast Syrups & Toppings",19944
20778,"Snack Food Gifts",19944
20779,"Candy & Chocolate Gifts",19944
